,RISKSCORE
154212,
86975,
86976,
86973,
86977,
86974,
86981,
86979,
86980,
86978,
13582,
13588,
13587,
13586,
13585,
13584,
13590,
13589,
13583,
31316,
31317,
31319,
31320,
31321,
31322,
31318,
84611,
50958,
50959,
50960,
50957,
50961,
50962,
50963,
50955,
29635,
55792,
55793,
55794,
55795,
16804,
16805,
16806,
125383,
123310,
84765,
84777,
137674,
126144,
136501,
136502,
122010,
74977,
74976,
75547,
75546,
75545,
75310,
75311,
57769,
78649,
78648,
78647,
71431,
57603,
120536,
120535,
120537,
132077,
132076,
132075,
132074,
138272,
138273,
138274,
75751,
75750,
75752,
130540,
130541,
130565,
130566,
138275,
147300,
68255,
100861,
50956,
148286,
52288,
52289,
136543,
136545,
136544,
152806,
49179,
49182,
49181,
49180,
10906,
10909,
10908,
10907,
141893,
141892,
141890,
141891,
30802,
96849,
70800,
58372,
58373,
981,
982,
980,
27509,
27500,
151124,
151125,
147005,
147004,
108126,
108125,
108124,
108123,
106333,
106332,
106334,
106336,
106335,
106331,
106440,
106439,
106442,
33205,
33202,
33203,
33204,
33201,
18035,
18030,
18031,
18032,
12081,
111653,
111654,
56154,
86147,
86148,
86149,
86150,
114328,
114327,
114326,
50170,
50171,
50173,
50174,
50175,
50172,
50169,
138271,
27402,
27384,
27385,
27386,
51176,
119921,
119922,
111655,
111652,
111651,
118847,
113232,
118846,
113235,
121791,
113236,
121789,
121790,
113233,
113231,
113234,
23931,
23932,
69883,
27511,
130664,
136041,
136039,
136043,
136042,
136040,
136045,
136046,
136044,
153107,
153106,
29953,
74318,
52218,
52217,
145533,
145534,
145532,
77575,
77576,
77577,
77578,
77580,
77579,
77572,
40858,
40856,
40857,
40822,
40823,
40828,
40829,
5967,
5969,
5968,
40824,
40825,
40826,
40827,
137094,
8048,
58998,
116410,
77573,
77574,
77581,
55140,
99777,
99778,
99776,
39430,
117565,
54828,
57182,
57183,
57185,
57184,
128925,
21699,
21701,
21700,
116412,
116413,
145984,
131512,
